"timestamp [UTC]",message,severityLevel
"10/16/2025, 3:52:03.171 PM","0 functions loaded",1
"10/16/2025, 3:52:03.171 PM","0 functions loaded",1
"10/16/2025, 3:51:33.191 PM","0 functions loaded",1
"10/16/2025, 3:51:33.186 PM","0 functions loaded",1
"10/16/2025, 3:51:33.171 PM","No job functions found. Try making your job classes and methods public. If you're using binding extensions (e.g. Azure Storage, ServiceBus, Timers, etc.) make sure you've called the registration method for the extension(s) in your startup code (e.g. builder.AddAzureStorage(), builder.AddServiceBus(), builder.AddTimers(), etc.).",2
"10/16/2025, 3:51:33.170 PM","0 functions loaded",1
"10/16/2025, 3:51:33.169 PM","HttpWorkerOptions
{
  ""Type"": 0,
  ""Description"": null,
  ""Arguments"": null,
  ""Port"": 0,
  ""EnableForwardingHttpRequest"": false,
  ""EnableProxyingHttpRequest"": false,
  ""InitializationTimeout"": ""00:00:30""
}",1
"10/16/2025, 3:51:33.169 PM","at Object.apply (/azure-functions-host/workers/node/dist/src/worker-bundle.js:2:52998)",1
"10/16/2025, 3:51:33.169 PM","- /azure-functions-host/workers/node/dist/src/nodejsWorker.js",1
"10/16/2025, 3:51:33.169 PM","- /azure-functions-host/workers/node/dist/src/worker-bundle.js",1
"10/16/2025, 3:51:33.169 PM","Error: Worker was unable to load entry point ""index.js"": Cannot find module '../../services/cocktailDbClient.js'",3
"10/16/2025, 3:51:33.167 PM","Host initialization: ConsecutiveErrors=0, StartupCount=3, OperationId=9b3b8382-f2e4-4f0e-b5da-fc013837ba37",1
"10/16/2025, 3:47:09.253 PM","0 functions loaded",1
"10/16/2025, 3:47:09.252 PM","0 functions loaded",1
"10/16/2025, 3:46:39.271 PM","0 functions loaded",1
"10/16/2025, 3:46:39.266 PM","0 functions loaded",1
"10/16/2025, 3:46:39.252 PM","No job functions found. Try making your job classes and methods public. If you're using binding extensions (e.g. Azure Storage, ServiceBus, Timers, etc.) make sure you've called the registration method for the extension(s) in your startup code (e.g. builder.AddAzureStorage(), builder.AddServiceBus(), builder.AddTimers(), etc.).",2
"10/16/2025, 3:46:39.250 PM","0 functions loaded",1
"10/16/2025, 3:46:39.250 PM","HttpWorkerOptions
{
  ""Type"": 0,
  ""Description"": null,
  ""Arguments"": null,
  ""Port"": 0,
  ""EnableForwardingHttpRequest"": false,
  ""EnableProxyingHttpRequest"": false,
  ""InitializationTimeout"": ""00:00:30""
}",1
"10/16/2025, 3:46:39.250 PM","at Object.apply (/azure-functions-host/workers/node/dist/src/worker-bundle.js:2:52998)",1
"10/16/2025, 3:46:39.250 PM","- /azure-functions-host/workers/node/dist/src/nodejsWorker.js",1
"10/16/2025, 3:46:39.250 PM","- /azure-functions-host/workers/node/dist/src/worker-bundle.js",1
"10/16/2025, 3:46:39.250 PM","Error: Worker was unable to load entry point ""index.js"": Cannot find module '../../services/cocktailDbClient.js'",3
"10/16/2025, 3:46:39.248 PM","Host initialization: ConsecutiveErrors=0, StartupCount=3, OperationId=9ad0d4ee-2852-4409-9e9d-aabcd6d97ca5",1
