"timestamp [UTC]",itemType,message,"operation_Name"
"10/16/2025, 2:15:15.835 PM",trace,"0 functions loaded",
"10/16/2025, 2:15:15.835 PM",trace,"0 functions found (Custom)",
"10/16/2025, 2:15:15.835 PM",trace,"Reading functions metadata (Custom)",
"10/16/2025, 2:15:15.834 PM",trace,"Loading functions metadata",
"10/16/2025, 2:15:15.831 PM",trace,"ConcurrencyOptions
{
  ""DynamicConcurrencyEnabled"": false,
  ""MaximumFunctionConcurrency"": 500,
  ""CPUThreshold"": 0.8,
  ""SnapshotPersistenceEnabled"": true
}",
"10/16/2025, 2:15:15.831 PM",trace,"HttpOptions
{
  ""DynamicThrottlesEnabled"": false,
  ""EnableChunkedRequestBinding"": false,
  ""MaxConcurrentRequests"": -1,
  ""MaxOutstandingRequests"": -1,
  ""RoutePrefix"": ""api""
}",
"10/16/2025, 2:15:15.829 PM",trace,"0 functions loaded",
"10/16/2025, 2:15:15.829 PM",trace,"0 functions found (Custom)",
"10/16/2025, 2:15:15.828 PM",trace,"Reading functions metadata (Custom)",
"10/16/2025, 2:15:15.828 PM",trace,"Loading functions metadata",
"10/16/2025, 2:14:51.169 PM",trace,"Host lock lease acquired by instance ID '000000000000000000000000532EDAD6'.",
"10/16/2025, 2:14:45.818 PM",trace,"Job host started",
"10/16/2025, 2:14:45.818 PM",trace,"Host started (2ms)",
"10/16/2025, 2:14:45.818 PM",trace,"Host initialized (1ms)",
"10/16/2025, 2:14:45.818 PM",trace,"Initializing function HTTP routes
No HTTP routes mapped",
"10/16/2025, 2:14:45.817 PM",trace,"HttpOptions
{
  ""DynamicThrottlesEnabled"": false,
  ""EnableChunkedRequestBinding"": false,
  ""MaxConcurrentRequests"": -1,
  ""MaxOutstandingRequests"": -1,
  ""RoutePrefix"": ""api""
}",
"10/16/2025, 2:14:45.817 PM",trace,"No job functions found. Try making your job classes and methods public. If you're using binding extensions (e.g. Azure Storage, ServiceBus, Timers, etc.) make sure you've called the registration method for the extension(s) in your startup code (e.g. builder.AddAzureStorage(), builder.AddServiceBus(), builder.AddTimers(), etc.).",
"10/16/2025, 2:14:45.816 PM",trace,"Generating 0 job function(s)",
"10/16/2025, 2:14:45.816 PM",trace,"0 functions loaded",
"10/16/2025, 2:14:45.816 PM",trace,"0 functions found (Custom)",
"10/16/2025, 2:14:45.816 PM",trace,"Reading functions metadata (Custom)",
"10/16/2025, 2:14:45.816 PM",trace,"Loading functions metadata",
"10/16/2025, 2:14:45.816 PM",trace,"Starting Host (HostId=89782499987a25f70bdbb25708ef6142, InstanceId=9a372bdd-499a-42d0-877d-d478e924121f, Version=4.1043.200.2, ProcessId=34, AppDomainId=1, InDebugMode=False, InDiagnosticMode=False, FunctionsExtensionVersion=~4)",
"10/16/2025, 2:14:45.815 PM",trace,"Starting JobHost",
"10/16/2025, 2:14:45.815 PM",trace,"ScaleOptions
{
  ""ScaleMetricsMaxAge"": ""00:02:00"",
  ""ScaleMetricsSampleInterval"": ""00:00:10"",
  ""MetricsPurgeEnabled"": true,
  ""IsTargetScalingEnabled"": true,
  ""IsRuntimeScalingEnabled"": false
}",
"10/16/2025, 2:14:45.815 PM",trace,"SingletonOptions
{
  ""LockPeriod"": ""00:00:15"",
  ""ListenerLockPeriod"": ""00:01:00"",
  ""LockAcquisitionTimeout"": ""10675199.02:48:05.4775807"",
  ""LockAcquisitionPollingInterval"": ""00:00:05"",
  ""ListenerLockRecoveryPollingInterval"": ""00:01:00""
}",
