"timestamp [UTC]",message,severityLevel,customDimensions
"10/16/2025, 2:39:19.339 PM","Host lock lease acquired by instance ID '000000000000000000000000AD4FA7D2'.",1,"{""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""Host lock lease acquired by instance ID '{websiteInstanceId}'."",""LogLevel"":""Information"",""EventId"":""337"",""Category"":""Host.General"",""EventName"":""PrimaryHostCoordinatorLockLeaseAcquired"",""prop__websiteInstanceId"":""000000000000000000000000AD4FA7D2""}"
"10/16/2025, 2:38:12.931 PM","Call to StopAsync complete, registered listeners are now stopped",1,"{""ProcessId"":""34"",""HostInstanceId"":""9a372bdd-499a-42d0-877d-d478e924121f"",""prop__{OriginalFormat}"":""Call to StopAsync complete, registered listeners are now stopped"",""LogLevel"":""Information"",""Category"":""Microsoft.Azure.WebJobs.Host.DrainModeManager""}"
"10/16/2025, 2:38:12.931 PM","Calling StopAsync on the registered listeners",1,"{""ProcessId"":""34"",""HostInstanceId"":""9a372bdd-499a-42d0-877d-d478e924121f"",""prop__{OriginalFormat}"":""Calling StopAsync on the registered listeners"",""LogLevel"":""Information"",""Category"":""Microsoft.Azure.WebJobs.Host.DrainModeManager""}"
"10/16/2025, 2:38:12.931 PM","DrainMode mode enabled",1,"{""ProcessId"":""34"",""HostInstanceId"":""9a372bdd-499a-42d0-877d-d478e924121f"",""prop__{OriginalFormat}"":""DrainMode mode enabled"",""LogLevel"":""Information"",""Category"":""Microsoft.Azure.WebJobs.Host.DrainModeManager""}"
"10/16/2025, 2:38:09.313 PM","Job host started",1,"{""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""Job host started"",""LogLevel"":""Information"",""Category"":""Host.Startup""}"
"10/16/2025, 2:38:09.313 PM","Host started (2ms)",1,"{""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""Host started ({ms}ms)"",""LogLevel"":""Information"",""EventId"":""413"",""prop__ms"":""2"",""Category"":""Host.Startup"",""EventName"":""ScriptHostStarted""}"
"10/16/2025, 2:38:09.313 PM","Host initialized (2ms)",1,"{""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""Host initialized ({ms}ms)"",""LogLevel"":""Information"",""EventId"":""412"",""prop__ms"":""2"",""Category"":""Host.Startup"",""EventName"":""ScriptHostInitialized""}"
"10/16/2025, 2:38:09.313 PM","Initializing function HTTP routes
No HTTP routes mapped",1,"{""prop__{OriginalFormat}"":""Initializing function HTTP routes\nNo HTTP routes mapped"",""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""LogLevel"":""Information"",""Category"":""Microsoft.Azure.WebJobs.Script.WebHost.WebScriptHostHttpRoutesManager""}"
"10/16/2025, 2:38:09.313 PM","HttpOptions
{
  ""DynamicThrottlesEnabled"": false,
  ""EnableChunkedRequestBinding"": false,
  ""MaxConcurrentRequests"": -1,
  ""MaxOutstandingRequests"": -1,
  ""RoutePrefix"": ""api""
}",1,"{""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""HttpOptions\n{\n  \""DynamicThrottlesEnabled\"": false,\n  \""EnableChunkedRequestBinding\"": false,\n  \""MaxConcurrentRequests\"": -1,\n  \""MaxOutstandingRequests\"": -1,\n  \""RoutePrefix\"": \""api\""\n}"",""LogLevel"":""Information"",""Category"":""Microsoft.Azure.WebJobs.Hosting.OptionsLoggingService""}"
"10/16/2025, 2:38:09.313 PM","No job functions found. Try making your job classes and methods public. If you're using binding extensions (e.g. Azure Storage, ServiceBus, Timers, etc.) make sure you've called the registration method for the extension(s) in your startup code (e.g. builder.AddAzureStorage(), builder.AddServiceBus(), builder.AddTimers(), etc.).",2,"{""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""No job functions found. Try making your job classes and methods public. If you're using binding extensions (e.g. Azure Storage, ServiceBus, Timers, etc.) make sure you've called the registration method for the extension(s) in your startup code (e.g. builder.AddAzureStorage(), builder.AddServiceBus(), builder.AddTimers(), etc.)."",""LogLevel"":""Warning"",""Category"":""Host.Startup""}"
"10/16/2025, 2:38:09.312 PM","Generating 0 job function(s)",1,"{""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""Generating 0 job function(s)"",""LogLevel"":""Information"",""Category"":""Host.Startup""}"
"10/16/2025, 2:38:09.312 PM","0 functions loaded",1,"{""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""{count} functions loaded"",""prop__count"":""0"",""LogLevel"":""Information"",""EventId"":""315"",""Category"":""Host.Startup"",""EventName"":""FunctionMetadataManagerFunctionsLoaded""}"
"10/16/2025, 2:38:09.311 PM","0 functions found (Custom)",1,"{""prop__provider"":""Custom"",""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""{count} functions found ({provider})"",""prop__count"":""0"",""LogLevel"":""Information"",""EventId"":""327"",""Category"":""Host.Startup"",""EventName"":""FunctionsReturnedByProvider""}"
"10/16/2025, 2:38:09.311 PM","Reading functions metadata (Custom)",1,"{""prop__provider"":""Custom"",""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""Reading functions metadata ({provider})"",""LogLevel"":""Information"",""EventId"":""326"",""Category"":""Host.Startup"",""EventName"":""ReadingFunctionMetadataFromProvider""}"
"10/16/2025, 2:38:09.311 PM","Loading functions metadata",1,"{""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""Loading functions metadata"",""LogLevel"":""Information"",""EventId"":""314"",""Category"":""Host.Startup"",""EventName"":""FunctionMetadataManagerLoadingFunctionsMetadata""}"
"10/16/2025, 2:38:09.311 PM","Starting Host (HostId=89782499987a25f70bdbb25708ef6142, InstanceId=21b3f806-810c-4821-be88-dbd4bc5f4f40, Version=4.1043.200.2, ProcessId=35, AppDomainId=1, InDebugMode=True, InDiagnosticMode=False, FunctionsExtensionVersion=~4)",1,"{""prop__hostId"":""89782499987a25f70bdbb25708ef6142"",""prop__extensionVersion"":""~4"",""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""Starting Host (HostId={hostId}, InstanceId={instanceId}, Version={version}, ProcessId={processId}, AppDomainId={appDomainId}, InDebugMode={inDebugMode}, InDiagnosticMode={inDiagnosticMode}, FunctionsExtensionVersion={extensionVersion})"",""prop__inDiagnosticMode"":""False"",""prop__inDebugMode"":""True"",""LogLevel"":""Information"",""EventId"":""401"",""prop__appDomainId"":""1"",""Category"":""Host.Startup"",""prop__processId"":""35"",""prop__instanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""EventName"":""StartingHost"",""prop__version"":""4.1043.200.2""}"
"10/16/2025, 2:38:09.310 PM","Starting JobHost",1,"{""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""Starting JobHost"",""LogLevel"":""Information"",""Category"":""Microsoft.Azure.WebJobs.Hosting.JobHostService""}"
"10/16/2025, 2:38:09.310 PM","ScaleOptions
{
  ""ScaleMetricsMaxAge"": ""00:02:00"",
  ""ScaleMetricsSampleInterval"": ""00:00:10"",
  ""MetricsPurgeEnabled"": true,
  ""IsTargetScalingEnabled"": true,
  ""IsRuntimeScalingEnabled"": false
}",1,"{""ProcessId"":""35"",""HostInstanceId"":""21b3f806-810c-4821-be88-dbd4bc5f4f40"",""prop__{OriginalFormat}"":""ScaleOptions\n{\n  \""ScaleMetricsMaxAge\"": \""00:02:00\"",\n  \""ScaleMetricsSampleInterval\"": \""00:00:10\"",\n  \""MetricsPurgeEnabled\"": true,\n  \""IsTargetScalingEnabled\"": true,\n  \""IsRuntimeScalingEnabled\"": false\n}"",""LogLevel"":""Information"",""Category"":""Microsoft.Azure.WebJobs.Hosting.OptionsLoggingService""}"
