"timestamp [UTC]",message,severityLevel
"10/16/2025, 4:27:20.457 PM","Host Status: {
  ""id"": ""89782499987a25f70bdbb25708ef6142"",
  ""state"": ""Running"",
  ""version"": ""4.1043.200.2"",
  ""versionDetails"": ""4.1043.200-dev.2.0+304019e5eaf5c763e104e3b0eec582b5de8034f8"",
  ""platformVersion"": """",
  ""instanceId"": ""0--cb979e66-2ad7-4c99-aec3-a67ef6fbed4a"",
  ""computerName"": """",
  ""processUptime"": 696134,
  ""functionAppContentEditingState"": ""NotAllowed"",
  ""extensionBundle"": {
    ""id"": ""Microsoft.Azure.Functions.ExtensionBundle"",
    ""version"": ""4.27.1""
  }
}",1
"10/16/2025, 4:26:47.321 PM","0 functions loaded",1
"10/16/2025, 4:26:47.321 PM","0 functions found (Custom)",1
"10/16/2025, 4:26:47.321 PM","Reading functions metadata (Custom)",1
"10/16/2025, 4:26:47.320 PM","Loading functions metadata",1
"10/16/2025, 4:26:47.319 PM","0 functions loaded",1
"10/16/2025, 4:26:47.319 PM","0 functions found (Custom)",1
"10/16/2025, 4:26:47.319 PM","Reading functions metadata (Custom)",1
"10/16/2025, 4:26:47.318 PM","Loading functions metadata",1
"10/16/2025, 4:26:22.342 PM","Host lock lease acquired by instance ID '0000000000000000000000006C9914B6'.",1
"10/16/2025, 4:26:17.337 PM","0 functions loaded",1
"10/16/2025, 4:26:17.337 PM","0 functions found (Custom)",1
"10/16/2025, 4:26:17.337 PM","Reading functions metadata (Custom)",1
"10/16/2025, 4:26:17.336 PM","Loading functions metadata",1
"10/16/2025, 4:26:17.333 PM","ConcurrencyOptions
{
  ""DynamicConcurrencyEnabled"": false,
  ""MaximumFunctionConcurrency"": 500,
  ""CPUThreshold"": 0.8,
  ""SnapshotPersistenceEnabled"": true
}",1
"10/16/2025, 4:26:17.332 PM","HttpOptions
{
  ""DynamicThrottlesEnabled"": false,
  ""EnableChunkedRequestBinding"": false,
  ""MaxConcurrentRequests"": -1,
  ""MaxOutstandingRequests"": -1,
  ""RoutePrefix"": ""api""
}",1
"10/16/2025, 4:26:17.331 PM","0 functions loaded",1
"10/16/2025, 4:26:17.331 PM","0 functions found (Custom)",1
"10/16/2025, 4:26:17.330 PM","Reading functions metadata (Custom)",1
"10/16/2025, 4:26:17.329 PM","Loading functions metadata",1
"10/16/2025, 4:26:17.315 PM","Job host started",1
"10/16/2025, 4:26:17.315 PM","Host started (3ms)",1
"10/16/2025, 4:26:17.315 PM","HttpOptions
{
  ""DynamicThrottlesEnabled"": false,
  ""EnableChunkedRequestBinding"": false,
  ""MaxConcurrentRequests"": -1,
  ""MaxOutstandingRequests"": -1,
  ""RoutePrefix"": ""api""
}",1
"10/16/2025, 4:26:17.315 PM","Host initialized (3ms)",1
"10/16/2025, 4:26:17.315 PM","Initializing function HTTP routes
No HTTP routes mapped",1
"10/16/2025, 4:26:17.315 PM","No job functions found. Try making your job classes and methods public. If you're using binding extensions (e.g. Azure Storage, ServiceBus, Timers, etc.) make sure you've called the registration method for the extension(s) in your startup code (e.g. builder.AddAzureStorage(), builder.AddServiceBus(), builder.AddTimers(), etc.).",2
"10/16/2025, 4:26:17.314 PM","Generating 0 job function(s)",1
"10/16/2025, 4:26:17.313 PM","0 functions loaded",1
"10/16/2025, 4:26:17.313 PM","0 functions found (Custom)",1
"10/16/2025, 4:26:17.313 PM","Reading functions metadata (Custom)",1
"10/16/2025, 4:26:17.312 PM","Loading functions metadata",1
"10/16/2025, 4:26:17.312 PM","Starting Host (HostId=89782499987a25f70bdbb25708ef6142, InstanceId=65d389d0-da2e-40f0-a06e-36e46cd382fe, Version=4.1043.200.2, ProcessId=35, AppDomainId=1, InDebugMode=True, InDiagnosticMode=False, FunctionsExtensionVersion=~4)",1
"10/16/2025, 4:26:17.311 PM","Starting JobHost",1
"10/16/2025, 4:26:17.311 PM","ScaleOptions
{
  ""ScaleMetricsMaxAge"": ""00:02:00"",
  ""ScaleMetricsSampleInterval"": ""00:00:10"",
  ""MetricsPurgeEnabled"": true,
  ""IsTargetScalingEnabled"": true,
  ""IsRuntimeScalingEnabled"": false
}",1
